編號,格,族,特徵與閘,暖身,結構起點（資料齊時）,暖身是否早於 w0,缺的資料,現在算得出來
1,PREREG10 AND regime=True N10 H120（營飆 v1；t−1 閘）,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋0050 MA200 t−1 閘,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；0050 MA200 回看至 2011-08-12；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）、M5（0050 2011 除息）,否
2,P3 乙臂 N8 d=1.0 relvol,P3B,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol＋閒置現金放 0050,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
3,P1 AND N8 d=1.0 relvol,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
4,PREREG10 AND regime=True N10 LD（t−1 閘）,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋0050 MA200 t−1 閘,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；0050 MA200 回看至 2011-08-12；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）、M5（0050 2011 除息）,否
5,P17 R_eq,P17,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst＋σ（窗內 120 根 burn-in，w＝0.50）,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；σ burn-in 見 R5；,2012-06-01（R14a）／2012-06-04（R14b）；R5 b 則延到 σ 可算的第一個再平衡日,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
6,P1 AND N8 d=2.0 relvol,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
7,PREREG10 AND regime=True N10 H60（t−1 閘）,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋0050 MA200 t−1 閘,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；0050 MA200 回看至 2011-08-12；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）、M5（0050 2011 除息）,否
8,P14 w=0.50,P14,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst＋0050 合成（期初一次配置）,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
9,P1 AND N10 d=inf relvol,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
10,P3 乙臂 N8 d=2.0 relvol,P3B,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol＋閒置現金放 0050,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
11,P1 AND N8 d=inf relvol,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
12,PREREG10 AND regime=False N10 H120,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
13,P1 AND N20 d=inf relvol（營量 v1）,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
14,P1 AND N20 d=inf null,P1,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋relvol,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
15,PREREG10 regime=False N20 H60,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）,否
16,PREREG10 regime=True N20 H60（t−1 閘）,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋0050 MA200 t−1 閘,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；0050 MA200 回看至 2011-08-12；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）、M5（0050 2011 除息）,否
17,PREREG10 regime=True N20 H120（t−1 閘）,P10,research11 S（ret20、nup20、amt 比、MA100、250 日高；≥249 根）＋research34 rev_hi24（24 期）＋research13 AND（面板 ≤45 根）＋0050 MA200 t−1 閘,249 根（w0 前 twse 首列 ≤ 2011-06-02）；rev 2010-04 起；0050 MA200 回看至 2011-08-12；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M3（還原）、M4（主版減資剔除）、M5（0050 2011 除息）,否
18,P9 2-A k2,P9,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
19,P9 2-B ⓐ（+15% 加碼）,P9,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
20,P9 2-B ⓑ（三分位加碼）,P9,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst＋ⓑ 旗標（p9_flags：eligible 橫斷面 dist_hi120 前三分位；面板用早年 build_panel）,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
21,P9 2-B ⓒ（滿 40 根仍為正加碼）,P9,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
22,P9 2-C ⓒ（0050 MA60 下新部位 1.5 slot）,P9,p4 面板（ret_120、dist_hi/lo120、vol60、amt20、turn20、fore20、trust20、ma_stack、ma60_up、rev_hi24）⇒ eligible＝liq∧bars≥120∧inst＋0050 MA60（t−1）,bars 120；ma60_up 80 根；fore20／trust20 20 個 T86 日（首個可算 2012-05-29）；0050 MA60；,2012-06-01（R14a）／2012-06-04（R14b）,是（全部暖身落在 w0 之前，資料時間上都有）,M1（T86 個股）、M2（shares）、M3（還原）、M4（主版減資剔除）,否
